date,A01,A21,A22,A23,A24,A41,A42,A43,A44,A45,A46,A47,A61,A62,A63,A99,B01,B02,B03,B04,B05,B06,B07,B08,B09,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B41,B42,B43,B44,B60,B61,B62,B63,B64,B65,B66,B67,B68,B81,B82,B99,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C21,C22,C23,C25,C30,C40,C99,D01,D02,D03,D04,D05,D06,D07,D10,D21,D99,E01,E02,E03,E04,E05,E06,E21,E99,F01,F02,F03,F04,F05,F15,F16,F17,F21,F22,F23,F24,F25,F26,F27,F28,F41,F42,F99,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G16,G21,G99,H01,H02,H03,H04,H05,H99,Y02,Y04
1980-10-14,55,2,1,15,4,2,1,3,2,4,2,23,88,2,32,NULL,64,NULL,5,1,9,1,1,1,NULL,11,7,29,5,12,9,2,2,26,3,2,6,NULL,21,1,4,3,37,3,17,17,9,45,13,1,NULL,NULL,1,NULL,23,8,10,8,NULL,1,111,69,41,19,10,8,NULL,NULL,9,11,17,4,3,NULL,NULL,4,NULL,5,6,4,14,NULL,2,4,NULL,6,11,3,15,16,2,20,NULL,20,33,7,12,3,7,52,NULL,7,2,8,19,12,3,6,7,8,4,NULL,92,16,37,8,13,24,8,9,14,10,21,NULL,1,8,NULL,93,30,23,44,15,NULL,91,1
1980-10-21,40,3,1,12,2,4,NULL,4,4,7,3,33,92,2,24,NULL,65,2,6,6,11,1,5,4,2,7,5,31,10,5,6,3,8,29,1,2,11,NULL,16,3,2,NULL,38,7,14,14,6,64,6,2,1,NULL,NULL,NULL,13,11,10,14,2,NULL,121,65,29,18,7,25,NULL,1,4,18,5,12,1,NULL,NULL,9,5,3,2,3,13,1,1,9,NULL,5,7,3,18,11,4,18,NULL,13,31,7,11,4,3,66,NULL,7,2,5,20,8,2,4,9,6,3,NULL,86,27,41,9,13,24,6,6,12,14,16,NULL,NULL,14,NULL,94,17,28,43,12,NULL,81,NULL
1980-10-28,44,1,3,10,4,7,2,4,2,7,NULL,28,85,6,18,NULL,55,3,4,3,13,2,4,2,1,16,7,29,6,11,6,8,NULL,25,5,2,16,NULL,16,4,1,3,52,8,24,16,8,62,5,5,NULL,NULL,NULL,NULL,17,17,13,11,4,2,108,70,33,15,6,13,1,1,4,9,9,9,2,NULL,NULL,3,1,3,6,2,10,NULL,1,4,NULL,6,12,5,17,12,3,18,NULL,10,34,1,6,2,5,70,4,7,1,11,14,7,2,3,11,3,4,NULL,73,18,35,2,12,25,7,6,12,6,18,NULL,1,9,NULL,93,22,23,40,21,NULL,65,1
1980-11-04,49,2,NULL,15,5,2,1,2,4,4,NULL,29,85,7,23,NULL,57,3,6,NULL,23,1,4,2,1,10,13,30,6,11,5,6,NULL,24,3,3,8,NULL,16,7,4,9,47,4,11,16,7,54,7,2,NULL,NULL,1,NULL,15,8,12,15,2,2,128,59,33,20,6,9,NULL,NULL,3,17,14,7,2,NULL,NULL,1,3,5,3,1,22,NULL,4,7,NULL,8,11,5,16,10,8,21,NULL,18,40,3,26,1,5,62,2,6,5,9,20,7,3,NULL,9,7,2,NULL,75,14,47,5,16,18,6,11,13,8,24,NULL,NULL,5,NULL,84,15,39,56,16,NULL,74,1
1980-11-11,48,4,6,17,3,3,1,4,9,6,1,29,75,3,14,NULL,53,4,4,1,11,2,3,3,NULL,13,10,18,4,8,6,1,3,29,2,7,11,NULL,14,5,2,4,34,5,16,10,4,53,7,6,NULL,NULL,NULL,NULL,16,7,12,12,NULL,4,116,68,40,19,12,6,NULL,NULL,5,14,22,11,4,NULL,NULL,4,2,2,6,2,15,1,1,9,NULL,8,4,9,23,7,5,23,NULL,14,34,4,11,1,5,58,5,9,5,9,19,7,3,3,9,11,5,NULL,75,30,46,7,13,15,7,5,9,5,23,NULL,NULL,8,NULL,112,32,20,35,22,NULL,70,NULL
1980-11-18,40,3,2,19,8,4,1,3,4,6,NULL,29,91,6,33,NULL,56,2,5,2,13,NULL,4,2,NULL,11,8,26,7,14,8,5,3,33,1,2,16,NULL,17,3,2,6,42,11,3,12,4,64,4,NULL,1,NULL,NULL,NULL,24,10,10,12,1,2,114,61,30,25,9,22,3,NULL,5,8,9,10,3,NULL,NULL,5,4,5,8,4,15,2,3,7,NULL,2,7,4,19,8,7,23,NULL,7,25,3,9,1,4,83,NULL,9,1,5,17,3,6,3,7,6,7,NULL,97,14,29,9,14,13,12,7,20,6,16,NULL,NULL,13,NULL,73,41,28,44,22,NULL,74,NULL
1980-11-25,40,1,1,13,9,1,NULL,4,NULL,3,NULL,27,98,2,15,NULL,69,3,4,2,14,2,2,1,NULL,15,11,22,4,12,3,4,4,27,6,5,8,NULL,10,3,1,3,44,7,14,6,7,48,7,3,NULL,NULL,NULL,NULL,21,10,14,13,NULL,NULL,157,57,25,29,16,21,1,NULL,9,12,8,14,4,NULL,NULL,1,2,4,4,6,11,1,NULL,9,NULL,4,7,2,17,14,8,11,NULL,16,36,3,10,2,2,80,2,4,2,9,16,5,2,7,13,5,1,NULL,89,35,37,8,12,22,10,6,14,8,17,1,NULL,18,NULL,89,27,22,33,18,NULL,84,1
1980-12-02,53,2,4,10,8,1,NULL,5,10,10,3,30,74,3,20,NULL,47,2,3,2,8,1,3,1,NULL,9,10,22,3,10,2,7,2,25,3,3,11,NULL,20,5,2,2,48,9,6,12,7,57,13,4,NULL,NULL,NULL,NULL,14,11,10,13,3,NULL,126,73,35,14,7,22,2,NULL,9,18,18,17,2,NULL,NULL,6,2,1,4,7,23,2,1,11,NULL,11,8,NULL,17,7,9,11,NULL,14,22,6,12,4,2,73,1,5,1,11,21,8,2,5,8,5,1,NULL,64,19,46,4,13,23,9,8,14,6,26,1,1,9,NULL,110,33,24,50,20,NULL,101,NULL
1980-12-09,50,3,2,13,5,1,2,4,4,2,5,27,92,4,11,NULL,81,4,7,2,18,NULL,NULL,4,NULL,14,9,21,6,11,7,2,3,36,6,3,3,NULL,14,5,6,1,36,9,12,8,5,43,15,3,NULL,NULL,1,NULL,21,11,8,17,1,4,100,67,28,28,6,8,1,NULL,12,17,13,10,2,NULL,NULL,10,3,3,4,4,11,2,1,12,NULL,5,3,2,21,12,7,10,NULL,10,38,4,6,1,6,82,1,8,3,13,31,10,4,12,11,4,2,NULL,104,12,32,5,19,8,3,8,16,8,22,NULL,NULL,7,NULL,90,32,20,31,25,NULL,103,NULL
1980-12-16,36,2,1,8,3,NULL,2,1,5,8,2,28,59,1,37,NULL,56,4,5,2,14,2,2,2,NULL,14,10,21,6,10,7,10,3,44,1,1,15,NULL,21,5,1,1,39,5,8,11,3,56,8,1,NULL,NULL,1,NULL,18,5,7,7,2,4,116,88,36,29,12,6,2,1,13,10,13,5,7,NULL,NULL,4,1,1,3,2,15,NULL,NULL,11,NULL,4,11,2,16,10,5,18,NULL,14,19,4,19,2,1,70,2,6,3,8,15,9,3,6,2,8,6,NULL,81,32,62,5,16,27,9,5,11,8,24,NULL,NULL,7,NULL,111,25,31,41,12,NULL,67,1
1980-12-23,35,2,NULL,16,6,3,NULL,3,NULL,9,1,26,93,4,26,NULL,49,3,7,1,13,2,4,3,1,3,10,23,7,12,10,3,4,36,6,3,11,NULL,15,2,1,3,33,6,17,4,7,57,14,3,1,NULL,1,NULL,21,11,10,16,3,6,94,67,45,19,6,16,NULL,NULL,1,16,14,12,2,NULL,NULL,8,4,1,6,3,21,2,1,9,NULL,8,4,4,13,8,6,16,NULL,14,26,1,7,4,5,73,1,11,3,10,20,14,4,4,9,5,4,NULL,100,43,56,13,11,26,8,10,12,11,21,NULL,NULL,5,NULL,81,31,30,29,20,NULL,69,1
1980-12-30,36,3,1,9,6,5,NULL,2,1,4,NULL,25,73,4,24,NULL,53,3,2,1,17,2,2,2,1,12,10,33,6,6,7,6,7,26,3,7,12,NULL,22,7,2,3,46,7,17,10,4,61,9,4,NULL,NULL,NULL,NULL,24,7,8,11,NULL,1,108,78,34,21,8,26,1,NULL,10,15,14,10,1,NULL,NULL,8,1,5,2,11,19,1,NULL,9,NULL,4,11,3,21,6,8,19,NULL,18,31,6,20,5,3,64,4,5,2,17,18,8,3,4,7,6,2,NULL,80,16,42,8,16,11,7,10,12,3,19,NULL,1,9,NULL,108,27,29,26,20,NULL,77,NULL
1981-01-06,47,1,3,11,6,4,1,1,3,5,NULL,21,87,1,24,NULL,43,3,1,1,11,NULL,NULL,1,NULL,17,9,30,9,18,10,7,3,45,2,2,13,NULL,17,4,4,2,44,4,6,11,8,40,7,NULL,NULL,NULL,1,NULL,27,7,14,8,2,3,97,93,42,37,10,10,1,1,5,14,8,12,4,NULL,NULL,8,2,2,4,4,5,3,1,9,NULL,2,9,5,9,5,7,14,NULL,12,30,2,6,2,7,68,1,4,4,16,26,10,7,8,7,9,6,NULL,79,20,34,10,12,21,2,5,13,8,16,NULL,1,8,NULL,110,22,30,35,15,NULL,83,NULL
1981-01-13,48,4,1,13,4,5,1,4,2,11,2,33,58,1,35,NULL,44,5,7,8,12,1,5,7,NULL,8,7,26,4,13,7,3,4,39,2,3,7,NULL,15,8,4,6,24,3,18,4,2,65,8,2,NULL,NULL,1,NULL,19,7,13,11,2,1,110,78,20,28,7,17,NULL,1,7,15,9,9,1,NULL,NULL,7,5,4,4,6,12,1,1,9,NULL,5,9,4,11,5,5,20,NULL,14,32,4,7,4,6,63,1,5,4,11,17,5,2,8,10,14,1,NULL,94,13,46,7,18,26,7,7,11,19,18,NULL,NULL,7,NULL,88,26,27,44,17,NULL,85,1
1981-01-20,36,5,2,10,4,2,NULL,5,7,1,1,23,89,6,26,NULL,71,4,5,5,17,1,3,2,1,6,14,24,5,7,7,8,3,35,3,6,7,NULL,13,2,1,4,40,7,8,6,7,53,9,2,NULL,NULL,NULL,NULL,17,13,8,8,4,5,103,97,50,17,5,16,1,1,12,14,8,12,2,NULL,NULL,5,2,3,4,4,23,NULL,1,5,NULL,7,12,3,22,3,8,12,NULL,20,45,3,12,4,5,63,3,5,4,14,15,10,6,8,11,7,7,NULL,74,20,34,5,11,15,9,9,16,8,23,NULL,NULL,14,NULL,96,38,24,40,19,NULL,70,1
1981-01-27,32,5,1,13,8,3,1,5,4,2,1,21,75,2,33,NULL,49,2,5,1,14,NULL,3,1,NULL,9,5,30,6,8,11,10,3,45,4,3,11,NULL,20,NULL,3,3,49,8,9,7,12,42,9,4,NULL,NULL,NULL,NULL,16,9,10,9,1,1,106,104,39,22,8,26,3,NULL,8,8,8,8,4,NULL,NULL,8,2,NULL,3,4,14,NULL,1,5,NULL,6,8,7,19,5,4,30,NULL,17,19,9,11,4,6,58,3,3,1,10,15,10,1,7,11,10,3,NULL,90,27,56,8,15,22,6,7,18,10,28,NULL,NULL,5,NULL,81,23,23,34,17,NULL,66,1
1981-02-03,41,2,2,13,8,2,2,2,2,7,2,23,90,3,36,NULL,47,3,7,1,8,2,4,3,NULL,15,8,31,1,6,8,6,3,32,4,1,9,NULL,20,3,2,4,39,7,13,4,7,49,7,1,NULL,NULL,NULL,NULL,24,11,9,13,2,2,105,73,37,27,10,14,1,NULL,11,5,9,15,2,NULL,NULL,6,2,1,5,7,19,NULL,2,6,NULL,7,7,2,13,8,6,25,NULL,13,31,6,11,6,6,46,NULL,3,2,12,22,16,7,6,7,2,5,NULL,81,19,50,2,17,17,8,11,7,14,16,NULL,NULL,6,NULL,86,32,29,43,19,NULL,74,NULL
1981-02-10,48,1,3,11,10,5,1,4,4,6,1,11,87,3,32,NULL,65,3,10,NULL,11,1,6,2,1,10,7,21,5,8,9,6,3,39,3,7,13,NULL,10,5,2,6,48,3,14,6,3,48,8,3,NULL,NULL,NULL,NULL,25,11,10,16,4,1,114,77,31,25,14,16,1,1,14,17,12,9,6,NULL,NULL,7,NULL,3,2,1,10,1,NULL,15,NULL,13,12,3,11,6,5,33,NULL,17,32,3,12,NULL,12,60,3,6,4,17,23,7,3,6,12,7,3,NULL,63,23,51,9,20,23,9,10,10,5,19,NULL,1,2,NULL,99,32,31,17,21,NULL,94,NULL
1981-02-17,56,6,1,19,8,4,NULL,3,3,5,4,25,89,6,23,NULL,70,2,9,5,9,1,5,2,1,18,16,34,3,6,10,2,3,38,5,5,6,NULL,20,3,3,3,34,2,13,9,7,48,9,4,NULL,NULL,3,NULL,25,11,13,12,1,1,100,80,36,37,4,12,NULL,NULL,10,12,3,16,3,NULL,NULL,4,2,3,4,4,15,NULL,NULL,8,NULL,9,6,3,17,2,7,25,NULL,12,39,2,10,4,2,76,2,2,4,11,26,15,4,8,5,1,4,NULL,82,24,46,5,22,29,6,7,19,8,13,NULL,1,3,NULL,91,24,23,36,24,NULL,80,NULL
1981-02-24,48,3,3,14,8,1,NULL,2,5,4,2,20,93,3,26,NULL,73,4,6,1,8,NULL,2,1,NULL,11,15,22,4,10,8,7,8,35,1,4,8,NULL,16,4,1,2,46,6,12,8,7,53,18,5,1,NULL,3,NULL,13,8,8,9,1,NULL,120,75,37,27,11,11,1,NULL,2,13,12,11,2,1,NULL,3,1,5,1,1,14,NULL,NULL,7,NULL,6,16,1,16,5,5,30,NULL,13,17,3,12,3,3,69,1,2,1,7,19,11,4,4,12,8,2,NULL,84,25,43,14,10,21,6,7,7,11,34,NULL,NULL,14,NULL,89,20,20,38,22,NULL,75,NULL
1981-03-03,50,1,3,17,7,5,1,6,3,5,2,16,107,10,27,NULL,54,5,9,4,9,1,4,1,NULL,7,9,19,4,10,5,4,6,29,7,6,14,NULL,20,3,1,3,40,2,12,9,6,57,7,7,NULL,NULL,NULL,NULL,13,17,9,5,NULL,1,143,72,31,20,5,11,NULL,1,7,14,13,14,3,NULL,NULL,6,3,1,3,2,10,2,2,12,NULL,9,11,4,22,10,2,25,NULL,13,27,6,12,5,5,59,1,4,4,15,17,9,3,5,11,8,3,NULL,88,28,46,10,19,25,6,10,17,17,14,1,NULL,4,NULL,96,15,24,29,21,NULL,65,1
1981-03-10,41,2,4,17,4,6,NULL,3,4,4,3,29,92,1,16,NULL,70,1,3,4,11,3,7,2,NULL,10,10,24,11,4,5,5,1,35,3,5,17,NULL,22,2,3,3,35,4,10,12,5,43,9,3,NULL,NULL,1,NULL,19,13,11,12,2,1,113,93,34,27,9,7,1,NULL,8,17,12,8,3,NULL,NULL,13,2,2,3,10,26,1,1,8,NULL,6,4,6,10,7,4,28,NULL,11,40,7,16,6,6,56,2,3,2,21,19,13,3,9,13,5,2,NULL,74,18,40,7,19,15,8,7,10,10,20,1,NULL,7,NULL,96,30,30,32,20,NULL,86,NULL
1981-03-17,51,2,3,12,9,4,NULL,5,NULL,4,4,15,97,5,19,NULL,71,2,5,NULL,9,2,4,3,NULL,13,14,27,6,10,8,3,6,33,3,7,12,NULL,10,4,3,4,44,3,16,4,7,60,6,2,NULL,NULL,NULL,NULL,24,14,12,11,2,2,124,73,40,25,6,7,1,NULL,6,12,12,15,7,NULL,NULL,7,NULL,3,7,2,18,1,2,3,NULL,15,12,NULL,14,4,10,20,NULL,14,27,4,9,3,7,70,3,3,NULL,8,18,11,4,6,12,6,2,NULL,82,33,48,10,15,15,5,10,7,10,18,NULL,1,4,NULL,85,19,28,37,21,NULL,78,NULL
1981-03-24,50,NULL,6,10,6,2,NULL,2,2,4,NULL,12,84,1,35,NULL,70,4,6,3,15,1,4,2,NULL,11,10,29,6,8,6,4,2,27,4,2,10,NULL,18,4,2,3,29,3,12,3,6,47,11,1,NULL,NULL,NULL,NULL,17,6,6,10,1,NULL,140,74,29,25,8,14,1,NULL,6,13,4,9,4,NULL,NULL,5,1,NULL,5,NULL,12,1,NULL,11,NULL,4,11,3,15,12,6,13,NULL,23,38,6,12,8,6,84,1,4,4,26,30,8,6,5,8,8,2,NULL,90,20,40,6,21,16,13,9,9,9,18,NULL,NULL,6,NULL,96,18,23,33,17,NULL,93,NULL
1981-03-31,50,1,3,20,6,6,1,6,1,11,NULL,26,106,2,23,NULL,60,1,4,2,17,1,3,NULL,NULL,7,8,19,8,10,8,10,5,26,4,3,15,NULL,11,1,1,4,45,5,16,7,6,45,6,2,2,NULL,2,NULL,19,7,8,9,4,NULL,125,61,22,34,14,16,NULL,NULL,5,13,7,4,2,NULL,NULL,11,3,2,6,4,14,2,1,10,NULL,8,11,3,19,7,8,23,NULL,12,40,2,8,2,3,68,2,3,2,6,21,3,4,3,12,4,1,NULL,103,18,60,6,15,17,9,4,14,8,23,1,NULL,9,NULL,98,30,25,29,24,NULL,66,NULL
1981-04-07,41,2,1,11,6,3,1,2,3,12,1,19,90,1,26,NULL,53,2,2,2,15,NULL,5,3,NULL,7,7,35,4,17,4,7,3,32,7,5,6,NULL,15,4,2,1,32,4,16,6,7,50,5,6,NULL,NULL,NULL,NULL,20,15,12,10,2,2,166,91,35,26,15,11,1,3,7,12,9,6,1,NULL,NULL,7,1,5,4,5,9,1,NULL,5,NULL,6,16,3,18,8,5,24,NULL,14,25,8,10,5,4,68,3,8,NULL,12,15,6,2,4,4,6,1,NULL,73,13,42,7,15,15,4,6,9,3,23,NULL,1,8,NULL,95,32,20,33,13,NULL,65,NULL
1981-04-14,52,3,NULL,16,6,8,NULL,4,3,10,1,30,102,1,28,NULL,67,4,5,2,14,1,2,3,1,13,7,18,2,14,7,4,8,29,5,5,10,NULL,7,3,2,3,48,2,21,13,8,49,7,1,1,NULL,1,NULL,16,14,12,15,1,NULL,144,54,27,28,12,12,NULL,NULL,8,15,14,5,2,NULL,NULL,8,2,5,4,3,12,NULL,2,3,NULL,8,9,7,25,9,10,15,NULL,10,37,7,9,2,2,77,NULL,6,7,9,30,11,3,4,4,8,1,NULL,68,29,28,12,14,12,6,4,16,2,16,NULL,NULL,11,NULL,97,32,25,32,15,NULL,75,NULL
1981-04-21,42,1,4,11,6,2,1,4,8,6,NULL,18,80,2,27,NULL,67,1,4,3,22,2,5,3,1,16,8,21,9,10,10,12,4,35,2,5,11,NULL,16,6,4,6,50,8,21,10,7,57,10,2,NULL,NULL,1,NULL,15,9,12,10,NULL,5,126,66,21,40,12,8,1,NULL,5,9,13,13,6,NULL,NULL,6,3,3,3,5,16,NULL,1,11,NULL,6,6,3,21,16,3,21,NULL,10,26,4,4,1,2,83,1,6,6,13,17,11,3,3,8,5,6,NULL,80,16,24,4,16,18,7,10,13,6,24,1,NULL,5,NULL,100,30,30,34,11,NULL,64,NULL
1981-04-28,41,4,1,14,6,4,1,4,3,3,1,15,104,3,19,NULL,48,1,5,1,15,1,4,1,NULL,12,9,16,6,7,3,4,4,29,4,4,14,NULL,27,3,1,1,44,5,20,13,7,55,11,3,NULL,NULL,1,NULL,19,5,12,14,4,1,107,58,39,24,11,23,2,3,6,11,19,12,3,NULL,NULL,5,4,NULL,8,2,16,NULL,NULL,7,NULL,6,12,2,18,11,5,18,NULL,17,21,3,18,5,5,58,4,6,1,12,27,4,3,7,6,9,2,NULL,72,39,94,5,9,14,7,10,21,4,20,1,NULL,4,NULL,94,25,31,40,19,NULL,62,1
1981-05-05,43,1,1,17,3,4,NULL,3,4,3,3,22,103,3,15,NULL,55,4,9,4,13,3,6,NULL,2,7,8,30,6,14,8,6,6,31,4,4,7,NULL,20,1,2,3,43,7,11,6,4,60,6,4,1,NULL,1,NULL,17,17,14,13,2,NULL,104,57,32,24,15,20,2,NULL,8,16,14,11,4,NULL,NULL,10,3,2,3,4,12,1,1,10,NULL,9,17,NULL,26,4,6,27,NULL,17,21,2,21,5,6,62,1,1,2,11,26,11,5,3,10,8,1,NULL,83,17,69,7,20,17,9,6,8,4,14,1,NULL,7,NULL,101,29,25,36,20,NULL,70,NULL
1981-05-12,51,5,1,16,10,2,NULL,9,3,9,NULL,18,100,3,31,NULL,56,1,5,2,8,1,5,2,NULL,10,7,30,10,11,3,6,4,37,7,4,9,NULL,10,2,2,4,54,5,18,12,6,58,12,4,NULL,NULL,NULL,NULL,18,13,4,14,2,2,142,75,35,16,10,8,2,NULL,6,8,8,5,5,NULL,NULL,7,1,NULL,5,6,11,1,NULL,15,NULL,14,13,2,14,7,5,28,NULL,3,29,4,6,2,3,77,NULL,2,1,5,18,9,1,3,10,9,6,NULL,77,24,44,9,18,15,4,3,9,6,14,NULL,NULL,5,NULL,103,27,32,26,9,NULL,71,NULL
1981-05-19,41,NULL,2,8,5,1,NULL,5,1,7,1,17,79,6,27,NULL,66,2,5,5,13,1,3,NULL,1,8,10,26,9,9,6,4,4,47,6,9,14,NULL,23,2,3,3,51,3,24,10,8,69,9,3,1,NULL,2,NULL,7,8,12,15,1,1,95,66,29,20,10,10,NULL,4,12,10,12,12,3,NULL,NULL,6,1,1,4,4,17,1,2,8,NULL,13,11,3,14,11,6,18,NULL,15,27,3,8,5,5,87,1,7,1,11,22,8,1,2,10,4,5,NULL,70,26,75,2,15,19,8,4,13,5,25,NULL,NULL,11,NULL,95,31,30,47,23,NULL,72,NULL
1981-05-26,50,2,NULL,12,7,1,1,4,4,6,2,23,79,5,24,NULL,44,3,5,4,12,NULL,2,1,1,12,8,34,8,12,9,10,3,24,7,2,9,NULL,17,2,7,1,48,2,16,11,6,55,9,5,1,NULL,1,NULL,13,7,1,9,NULL,1,103,71,27,14,10,9,NULL,NULL,2,15,15,18,1,NULL,NULL,5,3,NULL,7,9,13,3,3,7,NULL,9,16,2,13,9,4,18,NULL,15,27,5,13,3,2,72,1,4,1,11,14,11,4,5,10,6,2,NULL,85,29,52,13,14,18,4,10,16,9,19,NULL,NULL,8,NULL,99,30,40,42,13,NULL,66,NULL
1981-06-02,39,3,5,15,4,2,2,3,4,5,NULL,36,99,3,29,NULL,59,4,6,3,11,2,2,NULL,1,20,10,30,3,9,6,7,3,20,5,5,6,NULL,24,6,6,2,52,3,18,10,4,57,7,4,NULL,NULL,1,NULL,21,13,11,9,1,1,112,59,33,22,12,15,1,1,4,3,13,13,4,NULL,NULL,8,1,3,7,3,14,2,2,8,NULL,3,10,NULL,15,11,6,19,NULL,23,39,3,6,1,2,92,2,3,5,13,20,13,4,5,13,10,2,NULL,84,17,39,11,11,27,9,12,16,7,20,3,NULL,8,NULL,85,30,21,38,16,NULL,88,NULL
1981-06-09,46,1,3,9,2,4,1,4,7,3,NULL,25,80,4,28,NULL,54,4,8,2,17,2,4,2,NULL,10,8,28,7,6,7,6,2,28,2,1,8,NULL,20,1,2,1,65,4,21,9,9,55,11,7,NULL,NULL,NULL,NULL,20,8,10,5,1,NULL,79,46,28,28,9,5,NULL,1,7,9,4,17,NULL,NULL,NULL,3,1,4,2,10,16,NULL,2,8,NULL,10,9,6,32,9,3,22,NULL,20,38,5,8,2,5,80,3,7,3,8,27,14,4,5,11,4,4,NULL,94,24,56,9,15,18,7,5,11,10,27,NULL,NULL,6,NULL,99,33,20,31,20,NULL,87,2
1981-06-16,41,2,5,13,7,8,1,6,1,10,NULL,17,86,6,32,NULL,41,6,3,2,16,NULL,2,4,2,9,12,31,4,10,10,5,4,26,6,5,8,NULL,21,1,4,1,50,6,15,18,10,59,16,10,1,NULL,2,NULL,14,7,12,4,1,1,86,84,38,17,5,16,2,1,11,9,10,13,3,NULL,NULL,7,2,2,1,2,9,1,1,3,NULL,5,13,2,16,9,7,29,NULL,23,31,9,16,8,2,86,2,3,5,10,19,9,3,8,8,9,6,NULL,88,21,44,8,13,16,13,8,16,10,15,1,NULL,8,NULL,90,34,18,33,19,NULL,76,NULL
1981-06-23,34,3,NULL,9,7,2,4,2,3,4,2,18,79,3,29,NULL,55,3,11,1,11,2,4,3,1,15,11,30,6,13,7,4,5,35,2,5,11,NULL,13,5,NULL,7,59,6,25,12,3,58,10,2,1,NULL,2,NULL,21,14,13,9,3,2,102,66,22,24,12,20,2,1,5,19,11,11,3,NULL,NULL,7,4,3,1,8,10,1,1,14,NULL,9,11,1,15,7,7,27,NULL,18,40,3,9,8,6,77,2,4,1,6,11,9,3,5,12,5,3,NULL,100,17,45,4,12,19,8,8,7,9,20,NULL,NULL,9,NULL,94,29,25,32,16,NULL,80,NULL
1981-06-30,44,4,4,17,6,5,NULL,3,1,4,3,20,83,3,14,NULL,85,6,6,1,11,NULL,5,3,NULL,10,4,23,5,6,10,7,5,30,3,5,14,NULL,10,1,2,3,37,5,15,10,10,38,7,2,NULL,NULL,1,NULL,19,16,11,7,NULL,2,95,66,25,18,5,15,1,NULL,3,11,12,9,NULL,NULL,NULL,8,NULL,2,6,5,16,NULL,NULL,8,NULL,5,13,4,17,7,5,17,NULL,11,42,5,17,8,4,63,1,5,1,9,17,6,2,5,7,5,2,NULL,90,11,28,12,20,22,6,4,12,7,15,NULL,NULL,2,NULL,89,23,25,45,10,NULL,73,NULL
1981-07-07,38,6,1,11,4,3,1,NULL,4,2,3,27,76,4,19,NULL,65,NULL,7,1,11,4,1,2,1,8,10,20,4,11,3,3,1,27,2,1,8,NULL,20,3,1,NULL,47,6,16,14,3,44,11,6,NULL,NULL,NULL,NULL,16,10,14,8,3,NULL,106,70,33,19,8,8,1,NULL,5,7,11,3,5,NULL,NULL,10,2,3,5,6,12,NULL,2,3,NULL,2,6,3,16,5,5,24,NULL,13,24,2,11,1,7,66,2,6,2,6,16,9,3,1,9,11,2,NULL,94,25,40,5,17,16,9,4,14,16,14,NULL,1,12,NULL,84,27,25,28,22,NULL,74,2
1981-07-14,32,NULL,NULL,13,6,6,1,1,5,7,2,29,85,4,24,NULL,47,2,6,6,10,NULL,6,1,1,12,5,33,7,18,7,5,1,25,1,3,9,NULL,13,2,2,4,44,7,16,11,5,41,7,4,2,NULL,1,NULL,12,9,9,4,NULL,1,99,64,25,17,7,15,1,1,5,11,10,14,2,NULL,NULL,6,NULL,1,5,3,15,NULL,NULL,6,NULL,3,10,3,22,9,2,19,NULL,16,24,6,14,3,3,61,2,3,7,10,17,12,NULL,5,4,5,2,NULL,79,17,38,8,12,17,3,4,11,12,13,2,NULL,11,NULL,78,26,20,36,18,NULL,71,NULL
1981-07-21,39,1,2,17,3,2,3,3,2,6,3,20,74,2,23,NULL,52,1,10,3,6,1,3,2,NULL,9,11,25,3,6,6,2,4,34,4,6,6,NULL,16,1,1,3,39,2,16,13,4,54,10,6,NULL,NULL,1,NULL,19,14,5,9,1,1,79,51,24,21,9,14,2,NULL,6,22,17,17,4,NULL,NULL,4,1,2,2,3,15,NULL,NULL,10,NULL,12,15,1,16,4,6,20,NULL,17,30,4,7,6,3,58,3,8,3,12,16,6,1,6,12,5,1,NULL,109,22,45,12,15,14,9,4,10,8,35,NULL,NULL,8,NULL,84,20,15,32,10,NULL,78,NULL
1981-07-28,44,2,4,9,5,7,1,3,2,7,1,15,80,3,24,NULL,47,2,2,2,4,3,7,3,1,11,12,18,5,7,8,7,5,26,2,1,5,NULL,11,1,2,1,42,6,12,19,2,54,12,NULL,1,NULL,1,NULL,12,9,7,11,2,1,131,92,33,24,9,8,3,1,8,8,11,4,2,NULL,NULL,7,2,2,7,6,10,NULL,2,8,NULL,4,8,2,18,7,4,25,NULL,15,38,8,8,1,3,70,NULL,5,4,11,25,11,4,3,7,7,4,NULL,80,13,25,5,13,19,4,6,7,8,17,NULL,NULL,10,NULL,71,29,23,48,18,NULL,79,1
1981-08-04,43,3,2,17,6,2,1,4,4,2,NULL,17,94,3,10,1,43,4,6,2,8,NULL,6,3,NULL,11,8,28,8,13,10,8,3,29,1,2,5,NULL,12,3,4,1,43,2,15,11,7,42,4,4,1,NULL,2,NULL,19,10,11,8,1,NULL,116,64,23,24,7,20,1,1,7,9,11,4,3,NULL,NULL,6,1,NULL,1,4,9,NULL,NULL,5,NULL,4,5,2,18,6,9,23,NULL,15,24,5,14,5,3,64,1,6,1,5,21,10,1,2,3,9,5,NULL,107,26,49,9,16,17,3,5,7,13,10,2,1,11,NULL,92,22,26,29,15,NULL,71,NULL
