date,A01,A21,A22,A23,A24,A41,A42,A43,A44,A45,A46,A47,A61,A62,A63,A99,B01,B02,B03,B04,B05,B06,B07,B08,B09,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B41,B42,B43,B44,B60,B61,B62,B63,B64,B65,B66,B67,B68,B81,B82,B99,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C21,C22,C23,C25,C30,C40,C99,D01,D02,D03,D04,D05,D06,D07,D10,D21,D99,E01,E02,E03,E04,E05,E06,E21,E99,F01,F02,F03,F04,F05,F15,F16,F17,F21,F22,F23,F24,F25,F26,F27,F28,F41,F42,F99,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G16,G21,G99,H01,H02,H03,H04,H05,H99,Y02,Y04
1976-03-02,49,3,2,11,1,4,NULL,4,3,4,1,21,59,5,29,NULL,41,2,4,NULL,10,NULL,5,4,1,22,9,36,2,10,8,7,3,44,3,5,9,NULL,12,4,4,5,51,8,20,11,9,74,8,1,NULL,NULL,NULL,NULL,20,12,8,3,2,2,91,61,36,21,9,11,2,1,7,17,13,8,3,NULL,NULL,9,2,6,8,3,19,1,2,16,NULL,1,3,4,19,13,4,18,NULL,21,39,7,25,3,6,87,2,8,1,8,15,2,2,5,4,2,5,NULL,115,25,57,9,17,31,8,9,11,6,20,NULL,NULL,14,NULL,110,43,40,51,22,NULL,62,3
1976-03-09,35,1,5,16,3,4,NULL,3,3,7,4,33,60,4,22,NULL,51,2,2,2,11,1,3,1,NULL,12,14,31,5,10,9,7,7,36,10,5,5,NULL,19,3,2,3,57,5,17,16,9,91,7,6,2,NULL,NULL,NULL,14,7,10,13,2,5,84,75,30,12,7,7,NULL,1,7,10,7,7,2,NULL,NULL,9,4,1,5,NULL,26,1,NULL,13,NULL,10,5,3,16,10,2,14,NULL,22,47,2,12,4,7,72,2,7,4,9,13,9,7,6,6,13,9,NULL,101,25,53,8,8,19,10,8,9,7,22,NULL,NULL,10,NULL,109,32,42,52,19,NULL,44,NULL
1976-03-16,42,2,7,15,11,1,2,1,2,6,4,31,79,2,30,NULL,45,7,NULL,1,9,NULL,7,4,NULL,23,8,32,9,9,7,3,4,31,4,1,10,NULL,20,5,4,4,81,8,30,18,8,97,13,2,NULL,NULL,1,NULL,18,6,12,10,1,1,98,51,26,12,9,3,NULL,NULL,8,13,6,4,3,1,NULL,12,3,8,9,3,23,NULL,1,10,NULL,6,7,6,16,6,4,14,NULL,19,31,4,5,3,9,94,3,11,1,5,10,3,6,2,5,5,9,NULL,107,36,65,12,20,30,12,9,16,7,22,1,NULL,12,NULL,107,38,49,61,22,NULL,78,2
1976-03-23,30,3,5,16,3,5,2,6,6,5,1,24,56,4,22,NULL,42,1,2,2,8,5,1,6,NULL,26,12,40,6,12,5,15,5,33,7,3,11,NULL,21,4,6,5,48,2,22,9,8,61,20,5,NULL,NULL,NULL,NULL,12,10,11,7,1,3,104,60,26,13,9,4,NULL,1,6,15,11,15,3,NULL,NULL,10,5,3,7,2,14,2,2,9,NULL,7,9,7,25,7,2,21,NULL,29,40,4,23,3,10,85,1,5,NULL,6,15,8,4,4,5,7,7,NULL,86,15,45,14,25,25,9,8,14,8,25,NULL,NULL,15,NULL,136,31,41,48,21,NULL,61,1
1976-03-25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1976-03-30,34,10,1,14,2,4,3,2,1,5,NULL,27,73,6,32,NULL,51,5,1,4,7,3,1,4,NULL,14,14,36,2,10,8,9,4,61,5,7,4,NULL,20,5,4,4,50,4,12,16,4,92,13,6,NULL,NULL,1,NULL,26,14,6,15,3,4,119,55,33,14,9,8,NULL,NULL,14,12,7,9,2,NULL,NULL,8,5,4,6,1,13,NULL,NULL,8,NULL,6,10,2,12,4,9,23,NULL,25,26,1,20,3,5,63,1,9,NULL,18,11,4,6,7,6,8,6,NULL,106,30,52,6,29,32,11,5,10,6,43,NULL,NULL,8,NULL,88,32,35,42,8,NULL,52,NULL
1976-04-06,45,3,5,20,6,1,NULL,3,4,4,3,29,78,2,27,NULL,77,2,2,2,7,3,4,1,NULL,22,8,33,6,15,8,4,2,40,10,6,22,NULL,15,2,4,8,64,5,27,17,8,81,10,2,NULL,NULL,1,NULL,24,13,15,16,NULL,4,156,101,39,24,13,9,NULL,NULL,17,14,12,11,5,1,NULL,12,3,3,8,2,18,1,1,11,NULL,5,14,3,15,12,7,27,NULL,24,42,1,9,NULL,9,68,5,10,2,10,12,6,NULL,6,7,4,12,NULL,89,11,40,9,14,28,15,6,15,10,26,NULL,NULL,7,NULL,120,32,38,42,26,NULL,64,NULL
1976-04-13,45,5,3,29,5,4,NULL,3,3,9,2,32,83,4,30,NULL,54,7,3,NULL,11,1,NULL,2,1,18,6,20,4,10,11,10,4,44,5,4,15,NULL,25,9,4,4,44,5,13,9,9,76,12,6,1,NULL,NULL,NULL,29,7,7,14,2,2,143,72,29,21,19,14,NULL,1,6,13,5,7,2,1,NULL,6,5,3,10,5,25,3,1,7,NULL,3,12,4,22,6,4,16,NULL,20,32,2,9,1,6,72,NULL,6,2,6,9,4,3,1,3,12,6,NULL,83,17,45,6,12,17,4,4,10,9,19,NULL,NULL,7,NULL,92,29,21,24,13,NULL,45,NULL
1976-04-20,38,2,4,18,3,8,1,5,5,3,2,38,77,7,28,NULL,84,4,10,4,11,1,3,5,NULL,16,10,23,9,10,9,3,4,24,6,2,7,NULL,20,NULL,3,4,61,9,12,24,9,76,6,7,NULL,NULL,2,NULL,21,24,17,10,3,5,145,91,42,32,21,8,NULL,3,8,10,15,14,4,1,NULL,14,5,7,8,1,27,NULL,5,12,NULL,10,9,5,27,10,3,20,NULL,18,32,2,19,1,7,95,5,3,1,7,10,6,2,4,9,13,13,NULL,101,24,63,9,15,10,5,8,12,8,18,NULL,NULL,7,NULL,113,29,21,41,17,NULL,62,NULL
1976-04-27,40,3,2,17,4,2,1,7,5,5,3,41,77,4,28,NULL,59,4,4,2,13,2,1,5,NULL,15,7,29,7,13,6,6,2,35,1,7,12,NULL,17,6,4,3,59,7,19,22,8,90,9,3,NULL,NULL,2,NULL,26,15,10,19,2,8,133,74,30,27,23,9,1,1,17,21,18,12,3,NULL,NULL,9,4,5,9,3,22,NULL,1,9,NULL,9,19,7,24,19,4,22,NULL,18,37,3,15,4,9,101,3,8,1,3,15,15,3,6,5,10,14,NULL,103,22,57,6,16,19,7,3,14,6,23,2,NULL,12,NULL,111,30,27,37,22,NULL,80,NULL
